doi,pubmed_id,title,abstract,authors,journal,year
10.1083_jcb.117.3.473,1572892,A conserved phosphoprotein that specifically binds nuclear localization sequences is involved in nuclear import.,"We have purified proteins of 70 kD from Drosophila, HeLa cells, and Z. mays that specifically bind nuclear localization sequences (NLSs). These proteins are recognized by antibodies raised against a previously identified NLS-binding protein (NBP) from the yeast S. cerevisiae. All NBPs are associated with nuclei and also present in the cytosol. NBPs are phosphorylated and phosphatase treatment abolished NLS binding. The requirement for NBPs in nuclear protein uptake is demonstrated in semipermeabilized Drosophila melanogaster tissue culture cells. Proper import of a fluorescent protein containing the large T antigen NLS requires cytosol and ATP. In the absence of cytosol and/or ATP, NLS-containing proteins are bound to cytosolic structures and the nuclear envelope. Addition of cytosol and ATP results in movement of this bound intermediate into the nucleus. Anti-NBP antibodies specifically inhibited the binding part of this import reaction. These results indicate that a phosphoprotein common to several eukaryotes acts as a receptor that recognizes NLSs before their uptake into the nucleus.","Stochaj U, Silver PA.",J Cell Biol,1992
10.1083_jcb.100.2.463,2981888,Maize plastid photogenes: mapping and photoregulation of transcript levels during light-induced development.,"Positively photoregulated regions that show increased transcript levels upon illumination of dark-grown seedlings are scattered over approximately 19% of the maize plastid chromosome. Some photogenes, i.e., genes within these regions, are transcribed individually, whereas others that are transcribed as polycistronic mRNAs appear to be functionally organized into operons. Multiple light-induced transcripts are complementary to most photogenes; these mRNAs are not present in equimolar amounts during plastid photomorphogenesis, but particular transcripts predominate at specific stages of development. Most, but not all, photogene RNA pools reach a maximum size (after either 10, 20, or 44 h of illumination) and then fall to approximately preillumination levels. These data and other considerations argue that photogene expression control is fundamentally transcriptional and that there is more than one expression class. Transcripts of the maize plastid gene for the large subunit of ribulose bisphosphate carboxylase reach a maximum by 20 h of illumination; transcripts of the nuclear gene for the small subunit of this enzyme continue to accumulate and fall considerably later. These data suggest that the level of transcription of the latter gene in the nucleus may be regulated by events in the chloroplast.","Rodermel SR, Bogorad L.",J Cell Biol,1985
10.1083_jcb.94.1.201,7119014,"Three mutations in Zea mays affecting zein accumulation: a comparison of zein polypeptides, in vitro synthesis and processing, mRNA levels, and genomic organization.","We studied three mutations, opaque-2 (o2), opaque-7 (o7), and floury-2(fI2), each of which causes a depression in zein synthesis. We examined the processing efficiencies of the rough endoplasmic reticulum membranes in vitro, the levels of RNA transcription using cloned zein probes, and the genomic organization of the zein sequences as possible sites for the genetic defects. The results obtained indicate that the steps in prezein translation and processing occurring on the protein body membranes are not accountable for the lowered zein content in any of the mutations. The o2 mutation that typically shows a paucity of 22.5-kdalton zein polypeptides was found to have a concomitant reduction in a particular subgroup of mRNAs coding for this size class. Southern analyses suggest that the o2 mutation is not the result of a large deletion of tandem-linked zein genes.","Burr FA, Burr B.",J Cell Biol,1982
10.1083_jcb.98.2.558,6546388,Light-regulated gene expression during maize leaf development.,"We have established schedules of expression during maize leaf development in light and darkness for the messenger RNAs (mRNAs) and polypeptides for ribulose 1,5-bisphosphate carboxylase (RuBPCase) subunits, phosphoenolpyruvate carboxylase (PEPCase), and the light-harvesting chlorophyll a/b-binding protein (LHCP). Levels of mRNAs were measured by hybridization with cloned probes, and proteins were measured by immunodetection on protein gel blots. The initial synthesis in leaves of all four mRNAs follows a light-independent schedule; illumination influences only the level to which each mRNA accumulates. The synthesis of RuBPCase small and large subunits and of PEPCase polypeptides also follows a light-independent schedule which is modified quantitatively by light. However, the accumulation of LHCP polypeptides absolutely requires illumination. The accumulation of each protein closely follows the accumulation of its mRNA during growth in light. Higher ratios of PEPCase and RuBPCase protein to mRNA occur during dark growth.","Nelson T, Harpster MH, Mayfield SP, Taylor WC.",J Cell Biol,1984
10.1083_jcb.137.1.5,9105032,Telomeres cluster de novo before the initiation of synapsis: a three-dimensional spatial analysis of telomere positions before and during meiotic prophase.,"We have analyzed the progressive changes in the spatial distribution of telomeres during meiosis using three-dimensional, high resolution fluorescence microscopy. Fixed meiotic cells of maize (Zea mays L.) were subjected to in situ hybridization under conditions that preserved chromosome structure, allowing identification of stage-dependent changes in telomere arrangements. We found that nuclei at the last somatic prophase before meiosis exhibit a nonrandom, polarized chromosome organization resulting in a loose grouping of telomeres. Quantitative measurements on the spatial arrangements of telomeres revealed that, as cells passed through premeiotic interphase and into leptotene, there was an increase in the frequency of large telomere-to-telomere distances and a decrease in the bias toward peripheral localization of telomeres. By leptotene, there was no obvious evidence of telomere grouping, and the large, singular nucleolus was internally located, nearly concentric with the nucleus. At the end of leptotene, telomeres clustered de novo at the nuclear periphery, coincident with a displacement of the nucleolus to one side. The telomere cluster persisted throughout zygotene and into early pachytene. The nucleolus was adjacent to the cluster at zygotene. At the pachytene stage, telomeres rearranged again by dispersing throughout the nuclear periphery. The stage-dependent changes in telomere arrangements are suggestive of specific, active telomere-associated motility processes with meiotic functions. Thus, the formation of the cluster itself is an early event in the nuclear reorganizations associated with meiosis and may reflect a control point in the initiation of synapsis or crossing over.","Bass HW, Marshall WF, Sedat JW, Agard DA, Cande WZ.",J Cell Biol,1997
10.1083_jcb.139.4.831,9362502,Neocentromere-mediated chromosome movement in maize.,"Neocentromere activity is a classic example of nonkinetochore chromosome movement. In maize, neocentromeres are induced by a gene or genes on Abnormal chromosome 10 (Ab10) which causes heterochromatic knobs to move poleward at meiotic anaphase. Here we describe experiments that test how neocentromere activity affects the function of linked centromere/kinetochores (kinetochores) and whether neocentromeres and kinetochores are mobilized on the spindle by the same mechanism. Using a newly developed system for observing meiotic chromosome congression and segregation in living maize cells, we show that neocentromeres are active from prometaphase through anaphase. During mid-anaphase, normal chromosomes move on the spindle at an average rate of 0.79 micron/min. The presence of Ab10 does not affect the rate of normal chromosome movement but propels neocentromeres poleward at rates as high as 1.4 micron/min. Kinetochore-mediated chromosome movement is only marginally affected by the activity of a linked neocentromere. Combined in situ hybridization/immunocytochemistry is used to demonstrate that unlike kinetochores, neocentromeres associate laterally with microtubules and that neocentromere movement is correlated with knob size. These data suggest that microtubule depolymerization is not required for neocentromere motility. We argue that neocentromeres are mobilized on microtubules by the activity of minus end-directed motor proteins that interact either directly or indirectly with knob DNA sequences.","Yu HG, Hiatt EN, Chan A, Sweeney M, Dawe RK.",J Cell Biol,1997
10.1083_jcb.145.3.425,10225945,The maize homologue of the cell cycle checkpoint protein MAD2 reveals kinetochore substructure and contrasting mitotic and meiotic localization patterns.,"We have identified a maize homologue of yeast MAD2, an essential component in the spindle checkpoint pathway that ensures metaphase is complete before anaphase begins. Combined immunolocalization of MAD2 and a recently cloned maize CENPC homologue indicates that MAD2 localizes to an outer domain of the prometaphase kinetochore. MAD2 staining was primarily observed on mitotic kinetochores that lacked attached microtubules; i.e., at prometaphase or when the microtubules were depolymerized with oryzalin. In contrast, the loss of MAD2 staining in meiosis was not correlated with initial microtubule attachment but was correlated with a measure of tension: the distance between homologous or sister kinetochores (in meiosis I and II, respectively). Further, the tension-sensitive 3F3/2 phosphoepitope colocalized, and was lost concomitantly, with MAD2 staining at the meiotic kinetochore. The mechanism of spindle assembly (discussed here with respect to maize mitosis and meiosis) is likely to affect the relative contributions of attachment and tension. We support the idea that MAD2 is attachment-sensitive and that tension stabilizes microtubule attachments.","Yu HG, Muszynski MG, Kelly Dawe R.",J Cell Biol,1999
10.1083_jcb.147.2.267,10525534,"The maize tha4 gene functions in sec-independent protein transport in chloroplasts and is related to hcf106, tatA, and tatB.","Proteins are translocated across the chloroplast thylakoid membrane by a variety of mechanisms. Some proteins engage a translocation machinery that is derived from the bacterial Sec export system and require an interaction with a chloroplast-localized SecA homologue. Other proteins engage a machinery that is SecA-independent, but requires a transmembrane pH gradient. Recently, a counterpart to this Delta pH mechanism was discovered in bacteria. Genetic studies revealed that one maize protein involved in this mechanism, HCF106, is related in both structure and function to the bacterial tatA and tatB gene products. We describe here the mutant phenotype and molecular cloning of a second maize gene that functions in the Delta pH mechanism. This gene, thylakoid assembly 4 (tha4), is required specifically for the translocation of proteins that engage the Delta pH pathway. The sequence of the tha4 gene product resembles those of the maize hcf106 gene and the bacterial tatA and tatB genes. Sequence comparisons suggest that tha4 more closely resembles tatA, and hcf106 more closely resembles tatB. These findings support the notion that this sec-independent translocation mechanism has been highly conserved during the evolution of eucaryotic organelles from bacterial endosymbionts.","Walker MB, Roy LM, Coleman E, Voelker R, Barkan A.",J Cell Biol,1999
10.1083_jcb.151.1.131,11018059,Functional redundancy in the maize meiotic kinetochore.,"Kinetochores can be thought of as having three major functions in chromosome segregation: (a) moving plateward at prometaphase; (b) participating in spindle checkpoint control; and (c) moving poleward at anaphase. Normally, kinetochores cooperate with opposed sister kinetochores (mitosis, meiosis II) or paired homologous kinetochores (meiosis I) to carry out these functions. Here we exploit three- and four-dimensional light microscopy and the maize meiotic mutant absence of first division 1 (afd1) to investigate the properties of single kinetochores. As an outcome of premature sister kinetochore separation in afd1 meiocytes, all of the chromosomes at meiosis II carry single kinetochores. Approximately 60% of the single kinetochore chromosomes align at the spindle equator during prometaphase/metaphase II, whereas acentric fragments, also generated by afd1, fail to align at the equator. Immunocytochemistry suggests that the plateward movement occurs in part because the single kinetochores separate into half kinetochore units. Single kinetochores stain positive for spindle checkpoint proteins during prometaphase, but lose their staining as tension is applied to the half kinetochores. At anaphase, approximately 6% of the kinetochores develop stable interactions with microtubules (kinetochore fibers) from both spindle poles. Our data indicate that maize meiotic kinetochores are plastic, redundant structures that can carry out each of their major functions in duplicate.","Yu HG, Dawe RK.",J Cell Biol,2000
10.1083_jcb.152.1.231,11149933,Tangled1: a microtubule binding protein required for the spatial control of cytokinesis in maize.,"Spatial control of cytokinesis in plant cells depends on guidance of the cytokinetic apparatus, the phragmoplast, to a cortical """"division site"""" established before mitosis. Previously, we showed that the Tangled1 (Tan1) gene of maize is required for this process during maize leaf development (Cleary, A.L., and L.G. Smith. 1998. Plant Cell. 10:1875-1888.). Here, we show that the Tan1 gene is expressed in dividing cells and encodes a highly basic protein that can directly bind to microtubules (MTs). Moreover, proteins recognized by anti-TAN1 antibodies are preferentially associated with the MT-containing cytoskeletal structures that are misoriented in dividing cells of tan1 mutants. These results suggest that TAN1 protein participates in the orientation of cytoskeletal structures in dividing cells through an association with MTs.","Smith LG, Gerttula SM, Han S, Levy J.",J Cell Biol,2001
