doi,pubmed_id,title,abstract,authors,journal,year
10.1007_s00122-023-04504-w,38072878,Effects of Aegilops longissima chromosome 1 Sl on wheat bread-making quality in two types of translocation lines,"Aegilops longissima chromosome 1Sl encodes specific types of gluten subunits that may positively affect wheat bread-making quality. The most effective method of introducing 1 Sl chromosomal fragments containing the target genes into wheat is chromosome translocation. Here, a wheat-Ae. longissima 1BS1SlL translocation line was developed using molecular marker-assisted chromosome engineering. Two types of translocation chromosomes developed in a previous study, 1BS1SlL and 1SlS1BL, were introduced into three commercial wheat varieties (Ningchun4, Ningchun50, and Westonia) via backcrossing with marker-assisted selection. Advanced translocation lines were confirmed through chromosome in situ hybridization and genotyping by target sequencing using the wheat 40 K system. Bread-making quality was found to be improved in the two types of advanced translocation lines compared to the corresponding recurrent parents. Furthermore, 1SlS1BL translocation lines displayed better bread-making quality than 1BS1SlL translocation lines in each genetic background. Further analysis revealed that high molecular weight glutenin subunit (HMW-GS) contents and expression levels of genes encoding low molecular weight glutenin subunits (LMW-GSs) were increased in 1SlS1BL translocation lines. Gliadin and gluten-related transcription factors were also upregulated in the grains of the two types of advanced translocation lines compared to the recurrent parents. This study clarifies the impacts of specific glutenin subunits on bread-making quality and provides novel germplasm resources for further improvement of wheat quality through molecular breeding.","Qiu Y, Han Z, Liu N, Yu M, Zhang S, Chen H, Tang H, Zhao Z, Wang K, Lin Z, Han F, Ye X",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04505-9,38091074,Identification and fine-mapping of QYrAS286-2BL conferring adult-plant resistance to stripe rust in cultivated emmer wheat,"Stripe rust, caused by the fungal pathogen Puccinia striiformis f. sp. tritici (Pst), is one of the most devastating diseases of wheat. Identification of new sources of resistance and their utilization in breeding programs is the effectively control strategy. The objective of this study was to identify and genetically characterize the stripe rust resistance derived from the cultivated emmer accession AS286. A recombinant inbred line population, developed from a cross between the susceptible durum wheat line langdon and AS286, was genotyped using the Wheat55K single nucleotide polymorphism array and evaluated in field conditions with a mixture of the prevalent Chinese Pst races (CYR32, CYR33, CYR34, Zhong4, and HY46) and in growth chamber with race CYR34. Three QTLs conferring resistance were mapped on chromosomes 1BS, 2BL, and 5BL, respectively. The QYrAS286-1BS and QYrAS286-2BL were stable with major effects, explaining 12.91% to 18.82% and 11.31% to 31.43% of phenotypic variation, respectively. QYrAS286-5BL was only detected based on growth chamber seedling data. RILs harboring both QYrAS286-1BS and QYrAS286-2BL showed high levels of stripe rust resistance equal to the parent AS286. The QYrAS286-2BL was only detected at the adult-plant stage, which is different from previously named Yr genes and inherited as a single gene. It was further mapped to a 123.6-kb region using KASP markers derived from SNPs identified by bulked segregant RNA sequencing (BSR-Seq). The identified loci enrich our stripe rust resistance gene pool, and the flanking markers developed here could be useful in marker-assisted selection for incorporating QYrAS286-2BL into wheat cultivars.","Li Y, Hu Y, Jiang Y, Zhou Q, He Y, He J, Chen X, Chen X, Jiang B, Hao M, Ning S, Yuan Z, Zhang J, Xia C, Wu B, Feng L, Zhang L, Liu D, Huang L",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04507-7,38071267,Sr65: a widely effective gene for stem rust resistance in wheat,"Stem rust, caused by Puccinia graminis f. sp. tritici (Pgt), threatened global wheat production with the appearance of widely virulent races that included TTKSK and TTRTF. Indian landrace Hango-2 showed resistance to Pgt races in India and Australia. Screening of a Hango-2_Avocet 'S' (AvS) recombinant inbred line population identified two stem rust resistance genes, a novel gene (temporarily named as SrH2) from Hango-2 and Sr26 from AvS. A mapping population segregating for SrH2 alone was developed from two recombinant lines. SrH2 was mapped on the short arm of chromosome 1A, where it was flanked by KASP markers KASP_7944 (proximal) and KASP_12147 (distal). SrH2 was delimited to an interval of 1.8-2.3 Mb on chromosome arm 1AS. The failure to detect candidate genes through MutRenSeq and comparative genomic analysis with the pan-genome dataset indicated the necessity to generate a Hango-2 specific assembly for detecting the gene sequence linked with SrH2 resistance. MutRenSeq however enabled identification of SrH2-linked KASP marker sunCS_265. Markers KASP_12147 and sunCS_265 showed 92% and 85% polymorphism among an Australian cereal cultivar diversity panel and can be used for marker-assisted selection of SrH2 in breeding programs. The effectiveness of SrH2 against Pgt races from Europe, Africa, India, and Australia makes it a valuable resource for breeding stem rust-resistant wheat cultivars. Since no wheat-derived gene was previously located in chromosome arm 1AS, SrH2 represents a new locus and named as SR65.","Norman M, Chen C, Miah H, Patpour M, Srensen C, Hovmller M, Forrest K, Kumar S, Prasad P, Gangwar OP, Bhardwaj S, Bariana H, Periyannan S, Bansal U",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04514-8,38142253,Identification of a novel SNP in the miR172 binding site of Q homoeolog AP2L-D5 is associated with spike compactness and agronomic traits in wheat (Triticum aestivum L.),"Spike architecture is a key determinant of wheat yield, a crop which supports much of the human diet but whose yield gains are stagnating. Spike architecture mutants offer opportunities to identify genetic factors contributing to inflorescence development. Here, we investigate the locus underlying the compact spike phenotype of mutant line ANK-15 by conducting mRNA-sequencing and genetic mapping using ANK-15 and its non-compact spike near-isogenic line Novosibirskaya 67 (N67). Previous literature has placed the compact spike locus of ANK-15 to chromosome 2B. However, based on the single nucleotide polymorphisms (SNPs) identified using mRNA-seq data, we were unable to detect polymorphisms between N67 and ANK-15 in the putative chromosome 2B region. We performed differential expression analysis of developing rachis and found that AP2L-D5, the D homoeolog of the domestication Q gene, is upregulated in ANK-15 in comparison to N67. ANK-15 carries a SNP in the microRNA172 binding site of AP2L-D5, which is predicted to lead to higher expression of AP2L-D5 due to decreased miRNA172-mediated degradation. Furthermore, we performed genetic mapping using an ANK-15 x N67 F2 population and found a single quantitative trait locus on chromosome 5D coinciding with the position of AP2L-D5. This result suggests that AP2L-D5 is likely the underlying causal gene for the compact spike phenotype in ANK-15. We performed a field trial to investigate the effect of the AP2L-D5 allele on agronomic traits and found that the AP2L-D5 allele from ANK-15 is associated with a significant reduction in height, increased thousand grain weight (TGW), and increased grain width.","Zeng V, Uauy C, Chen Y",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04517-5,38165440,"HvBGlu3, a GH1 beta-glucosidase enzyme gene, negatively influences beta-glucan content in barley grains","Barley grains are rich in beta-glucan, an important factor affecting end-use quality. Previously, we identified several stable marker-trait associations (MTAs) and novel candidate genes associated with beta-glucan content in barley grains using GWAS (Genome Wide Association Study) analysis. The gene HORVU3Hr1G096910, encoding beta-glucosidase 3, named HvBGlu3, is found to be associated with beta-glucan content in barley grains. In this study, conserved domain analysis suggested that HvBGlu3 belongs to glycoside hydrolase family 1 (GH1). Gene knockout assay revealed that HvBGlu3 negatively influenced beta-glucan content in barley grains. Transcriptome analysis of developing grains of hvbglu3 mutant and the wild type indicated that the knockout of the gene led to the increased expression level of genes involved in starch and sucrose metabolism. Glucose metabolism analysis showed that the contents of many sugars in developing grains were significantly changed in hvbglu3 mutants. In conclusion, HvBGlu3 modulates beta-glucan content in barley grains by mediating starch and sucrose metabolism in developing grains. The obtained results may be useful for breeders to breed elite barley cultivars for food use by screening barley lines with loss of function of HvBGlu3 in barley breeding.","La Geng, Li M, Xie S, Wang H, He X, Sun N, Zhang G, Ye L",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04525-5,38198011,"Development, identification, and utilization of wheat-tetraploid Thinopyrum elongatum 4EL translocation lines resistant to stripe rust","Tetraploid Thinopyrum elongatum is a valuable genetic resource for improving the resistance of wheat to diseases such as stripe rust, powdery mildew, and Fusarium head blight. We previously reported that chromosome 4E of the 4E (4D) substitution line carries all-stage stripe rust resistance genes. To optimize the utility of these genes in wheat breeding programs, we developed translocation lines by inducing chromosomal structural changes through 60Co-gamma irradiation and developing monosomic substitution lines. In total, 53 plants with different 4E chromosomal structural changes were identified. Three homozygous translocation lines (T4DS4EL, T5AL4EL, and T3BL4EL) and an addition translocation line (T5DS4EL) were confirmed by the genomic in situ hybridization (GISH), fluorescence in situ hybridization (FISH), FISH-painting, and wheat 55 K SNP array analyses. These four translocation lines, which contained chromosome arm 4EL, exhibited high stripe rust resistance. Thus, a resistance gene (tentatively named Yr4EL) was localized to the chromosome arm 4EL of tetraploid Th. elongatum. For the application of marker-assisted selection (MAS), 32 simple sequence repeat (SSR) markers were developed, showing specific amplification on the chromosome arm 4EL and co-segregation with Yr4EL. Furthermore, the 4DS4EL line could be selected as a good pre-breeding line that better agronomic traits than other translocation lines. We transferred Yr4EL into three wheat cultivars SM482, CM42, and SM51, and their progenies were all resistant to stripe rust, which can be used in future wheat resistance breeding programs.","Gong B, Chen L, Zhang H, Zhu W, Xu L, Cheng Y, Wang Y, Zeng J, Fan X, Sha L, Zhang H, Chen G, Zhou Y, Kang H, Wu D",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04529-1,38240841,Genome-wide association analysis identifies a consistent QTL for powdery mildew resistance on chromosome 3A in Nordic and Baltic spring wheat,"Powdery mildew, caused by the biotrophic fungal pathogen Blumeria graminis f. sp. tritici, poses a significant threat to bread wheat (Triticum aestivum L.), one of the world's most crucial cereal crops. Enhancing cultivar resistance against this devastating disease requires a comprehensive understanding of the genetic basis of powdery mildew resistance. In this study, we performed a genome-wide association study (GWAS) using extensive field trial data from multiple environments across Estonia, Latvia, Lithuania, and Norway. The study involved a diverse panel of recent wheat cultivars and breeding lines sourced from the Baltic region and Norway. We identified a major quantitative trait locus (QTL) on chromosome 3A, designated as QPm.NOBAL-3A, which consistently conferred high resistance to powdery mildew across various environments and countries. Furthermore, the consistency of the QTL haplotype effect was validated using an independent Norwegian spring wheat panel. Subsequent greenhouse seedling inoculations with 15 representative powdery mildew isolates on a subset of the GWAS panel indicated that this QTL provides adult plant resistance and is likely of race non-specific nature. Moreover, we developed and validated KASP markers for QPm.NOBAL-3A tailored for use in breeding. These findings provide a critical foundation for marker-assisted selection in breeding programs aimed at pyramiding resistance QTL_genes to achieve durable and broad-spectrum resistance against powdery mildew.","Lin M, Islamov B, Aleliunas A, Armoniene R, Gorash A, Meigas E, Ingver A, Tamm I, Kollist H, Strazdina V, Bleidere M, Brazauskas G, Lillemo M",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04530-8,38265482,"Identification of Sr67, a new gene for stem rust resistance in KU168-2 located close to the Sr13 locus in wheat","Re-appearance of stem rust disease, caused by the fungal pathogen Puccinia graminis f. sp. tritici (Pgt), in different parts of Europe emphasized the need to develop wheat varieties with effective resistance to local Pgt populations and exotic threats. A Kyoto University wheat (Triticum aestivum L.) accession KU168-2 was reported to carry good resistance to leaf and stem rust. To identify the genomic region associated with the KU168-2 stem rust resistance, a genetic study was conducted using a doubled haploid (DH) population from the cross RL6071 x KU168-2. The DH population was phenotyped with three Pgt races (TTKSK, TPMKC, and QTHSF) and genotyped using the Illumina 90 K wheat SNP array. Linkage mapping showed the resistance to all three Pgt races was conferred by a single stem rust resistance (Sr) gene on chromosome arm 6AL, associated with Sr13. Presently, four Sr13 resistance alleles have been reported. Sr13 allele-specific KASP and STARP markers, and sequencing markers all showed null alleles in KU168-2. KU168-2 showed a unique combination of seedling infection types for five Pgt races (TTKSK, QTHSF, RCRSF, TMRTF, and TPMKC) compared to Sr13 alleles. The phenotypic uniqueness of the stem rust resistance gene in KU168-2 and null alleles for Sr13 allele-specific markers showed the resistance was conferred by a new gene, designated Sr67. Since Sr13 is less effective in hexaploid background, Sr67 will be a good source of stem rust resistance in bread wheat breeding programs.","Sharma JS, Che M, Fetch T, McCallum BD, Xu SS, Hiebert CW",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04533-5,38243086,Genotyping of SNPs in bread wheat at reduced cost from pooled experiments and imputation,"The plant breeding industry has shown growing interest in using the genotype data of relevant markers for performing selection of new competitive varieties. The selection usually benefits from large amounts of marker data, and it is therefore crucial to dispose of data collection methods that are both cost-effective and reliable. Computational methods such as genotype imputation have been proposed earlier in several plant science studies for addressing the cost challenge. Genotype imputation methods have though been used more frequently and investigated more extensively in human genetics research. The various algorithms that exist have shown lower accuracy at inferring the genotype of genetic variants occurring at low frequency, while these rare variants can have great significance and impact in the genetic studies that underlie selection. In contrast, pooling is a technique that can efficiently identify low-frequency items in a population, and it has been successfully used for detecting the samples that carry rare variants in a population. In this study, we propose to combine pooling and imputation and demonstrate this by simulating a hypothetical microarray for genotyping a population of recombinant inbred lines in a cost-effective and accurate manner, even for rare variants. We show that with an adequate imputation model, it is feasible to accurately predict the individual genotypes at lower cost than sample-wise genotyping and time-effectively. Moreover, we provide code resources for reproducing the results presented in this study in the form of a containerized workflow.","Clouard C, Nettelblad C",Theoretical and Applied Genetics,2024
10.1007_s00122-023-04536-2,38267732,A co-located QTL for seven spike architecture-related traits shows promising breeding use potential in common wheat (Triticum aestivum L.),"Spike-related traits, including fertile florets per spike (FFS), kernel weight per spike (KWS), total florets per spike (TFS), florets per spikelet (FPs), florets in the middle spikelet (FMs), fertile florets per spikelet (FFPs), and kernel weight per spikelet (KWPs), are key traits in improving wheat yield. In the present study, quantitative trait loci (QTL) for these traits evaluated under various environments were detected in a recombinant inbred line population (msf_Chuannong 16) mainly genotyped using the 16 K SNP array. Ultimately, we identified 60 QTL, but only QFFS.sau-MC-1A for FFS was a major and stably expressed QTL. It was located on chromosome arm 1AS, where loci for TFS, FPs, FMs, FFS, FFPs, KWS, and KWPs were also simultaneously co-mapped. The effect of QFFS.sau-MC-1A was further validated in three independent segregating populations using a Kompetitive Allele-Specific PCR marker. For the co-located QTL, QFFS.sau-MC-1A, the presence of a positive allele from msf was associate with increases for all traits: + 12.29% TFS, + 10.15% FPs, + 13.97% FMs, + 17.12% FFS, + 14.75% FFPs, + 22.17% KWS, and + 19.42% KWPs. Furthermore, pleiotropy analysis showed that the positive allele at QFFS.sau-MC-1A simultaneously increased the spike length, spikelet number per spike, and thousandkernel weight. QFFS.sau-MC-1A represents a novel QTL for marker-assisted selection with the potential for improving wheat yield. Four genes, TraesCS1A03G0012700, TraesCS1A03G0015700, TraesCS1A03G0016000, and TraesCS1A03G0016300, which may affect spike development, were predicted in the physical interval harboring QFFS.sau-MC-1A. Our results will help in further fine mapping QFFS.sau-MC-1A and be useful for improving wheat yield.","Zhou J, Liu Q, Tian R, Chen H, Wang J, Yang Y, Zhao C, Liu Y, Tang H, Deng M, Xu Q, Jiang Q, Chen G, Qi P, Jiang Y, Chen G, Tang L, Ren Y, Zheng Z, Liu C, Zheng Y, He Y, Wei Y, Ma J",Theoretical and Applied Genetics,2024
