doi,pubmed_id,title,abstract,authors,journal,year
10.1083_jcb.147.2.267,10525534,"The maize tha4 gene functions in sec-independent protein transport in chloroplasts and is related to hcf106, tatA, and tatB.","Proteins are translocated across the chloroplast thylakoid membrane by a variety of mechanisms. Some proteins engage a translocation machinery that is derived from the bacterial Sec export system and require an interaction with a chloroplast-localized SecA homologue. Other proteins engage a machinery that is SecA-independent, but requires a transmembrane pH gradient. Recently, a counterpart to this Delta pH mechanism was discovered in bacteria. Genetic studies revealed that one maize protein involved in this mechanism, HCF106, is related in both structure and function to the bacterial tatA and tatB gene products. We describe here the mutant phenotype and molecular cloning of a second maize gene that functions in the Delta pH mechanism. This gene, thylakoid assembly 4 (tha4), is required specifically for the translocation of proteins that engage the Delta pH pathway. The sequence of the tha4 gene product resembles those of the maize hcf106 gene and the bacterial tatA and tatB genes. Sequence comparisons suggest that tha4 more closely resembles tatA, and hcf106 more closely resembles tatB. These findings support the notion that this sec-independent translocation mechanism has been highly conserved during the evolution of eucaryotic organelles from bacterial endosymbionts.","Walker MB, Roy LM, Coleman E, Voelker R, Barkan A.",J Cell Biol,1999
10.1289_ehp.01109s2325,11359703,Biological control of Fusarium moniliforme in maize.,"Fusarium moniliforme Sheldon, a biological species of the mating populations within the (italic)Gibberella fujikuroi species complex, i.e., population A [= G. moniliformis (Sheld.) Wineland], is an example of a facultative fungal endophyte. During the biotrophic endophytic association with maize, as well as during saprophytic growth, F. moniliforme produces the fumonisins. The fungus is transmitted vertically and horizontally to the next generation of plants via clonal infection of seeds and plant debris. Horizontal infection is the manner by which this fungus is spread contagiously and through which infection occurs from the outside that can be reduced by application of certain fungicides. The endophytic phase is vertically transmitted. This type infection is important because it is not controlled by seed applications of fungicides, and it remains the reservoir from which infection and toxin biosynthesis takes place in each generation of plants. Thus, vertical transmission of this fungus is just as important as horizontal transmission. A biological control system using an endophytic bacterium, Bacillus subtilis, has been developed that shows great promise for reducing mycotoxin accumulation during the endophytic (vertical transmission) growth phase. Because this bacterium occupies the identical ecological niche within the plant, it is considered an ecological homologue to F. moniliforme, and the inhibitory mechanism, regardless of the mode of action, operates on the competitive exclusion principle. In addition to this bacterium, an isolate of a species of the fungus Trichoderma shows promise in the postharvest control of the growth and toxin accumulation from F. moniliforme on corn in storage.","Bacon CW, Yates IE, Hinton DM, Meredith F.",Environ Health Perspect,2001
10.1289_ehp.021105,11781159,Starlink corn: a risk analysis.,"Modern biotechnology has dramatically increased our ability to alter the agronomic traits of plants. Among the novel traits that biotechnology has made available, an important group includes Bacillus thuringiensis-derived insect resistance. This technology has been applied to potatoes, cotton, and corn. Benefits of Bt crops, and biotechnology generally, can be realized only if risks are assessed and managed properly. The case of Starlink corn, a plant modified with a gene that encodes the Bt protein Cry9c, was a severe test of U.S. regulatory agencies. The U.S. Environmental Protection Agency had restricted its use to animal feed due to concern about the potential for allergenicity. However, Starlink corn was later found throughout the human food supply, resulting in food recalls by the Food and Drug Administration and significant disruption of the food supply. Here we examine the regulatory history of Starlink, the assessment framework employed by the U.S. government, assumptions and information gaps, and the key elements of government efforts to manage the product. We explore the impacts on regulations, science, and society and conclude that only significant advances in our understanding of food allergies and improvements in monitoring and enforcement will avoid similar events in the future. Specifically, we need to develop a stronger fundamental basis for predicting allergic sensitization and reactions if novel proteins are to be introduced in this fashion. Mechanisms are needed to assure that worker and community aeroallergen risks are considered. Requirements are needed for the development of valid assays so that enforcement and post market surveillance activities can be conducted.","Bucchini L, Goldman LR.",Environ Health Perspect,2002
10.1186_1471-2229-4-12,15282033,Discovery of induced point mutations in maize genes by TILLING.,"BACKGROUND: Going from a gene sequence to its function in the context of a whole organism requires a strategy for targeting mutations, referred to as reverse genetics. Reverse genetics is highly desirable in the modern genomics era; however, the most powerful methods are generally restricted to a few model organisms. Previously, we introduced a reverse-genetic strategy with the potential for general applicability to organisms that lack well-developed genetic tools. Our TILLING (Targeting Induced Local Lesions IN Genomes) method uses chemical mutagenesis followed by screening for single-base changes to discover induced mutations that alter protein function. TILLING was shown to be an effective reverse genetic strategy by the establishment of a high-throughput TILLING facility and the delivery of thousands of point mutations in hundreds of Arabidopsis genes to members of the plant biology community. RESULTS: We demonstrate that high-throughput TILLING is applicable to maize, an important crop plant with a large genome but with limited reverse-genetic resources currently available. We screened pools of DNA samples for mutations in 1-kb segments from 11 different genes, obtaining 17 independent induced mutations from a population of 750 pollen-mutagenized maize plants. One of the genes targeted was the DMT102 chromomethylase gene, for which we obtained an allelic series of three missense mutations that are predicted to be strongly deleterious. CONCLUSIONS: Our findings indicate that TILLING is a broadly applicable and efficient reverse-genetic strategy. We are establishing a public TILLING service for maize modeled on the existing Arabidopsis TILLING Project.","Till BJ, Reynolds SH, Weil C, Springer N, Burtner C, Young K, Bowers E, Codomo CA, Enns LC, Odden AR, Greene EA, Comai L, Henikoff S.",BMC Plant Biol,2004
10.3389_fpls.2011.00012,22645526,Phenotype Uniformity in Combined-Stress Environments has a Different Genetic Architecture than in Single-Stress Treatments.,"For crop production it is desirable for the mapping between genotype and phenotype to be consistent, such that an optimized genotype produces uniform sets of individual plants. Uniformity is strongly selected in breeding programs, usually automatically, as harvest equipment eliminates severely non-uniform individuals. Uniformity is genetically controlled, is known to be increased by interplant competition, and is predicted to increase upon abiotic stress. We mapped maize loci controlling genotype by environment interaction in plant height uniformity. These loci are different than the loci controlling mean plant height. Uniformity decreases upon combining two abiotic stresses, with alleles conferring greater uniformity in a single stress showing little improvement in a combined stress treatment. The maize B73 and Mo17 inbreds do not provide segregating alleles for improvement in plant height uniformity, suggesting that the genetic network specifying plant height has a past history of selection for robustness.","Makumburage GB, Stapleton AE.",Front Plant Sci,2011
10.1093_database_bar022,21624896,MaizeGDB: curation and outreach go hand-in-hand.,"First released in 1991 with the name MaizeDB, the Maize Genetics and Genomics Database, now MaizeGDB, celebrates its 20th anniversary this year. MaizeGDB has transitioned from a focus on comprehensive curation of the literature, genetic maps and stocks to a paradigm that accommodates the recent release of a reference maize genome sequence, multiple diverse maize genomes and sequence-based gene expression data sets. The MaizeGDB Team is relatively small, and relies heavily on the research community to provide data, nomenclature standards and most importantly, to recommend future directions, priorities and strategies. Key aspects of MaizeGDB's intimate interaction with the community are the co-location of curators with maize research groups in multiple locations across the USA as well as coordination with MaizeGDB's close partner, the Maize Genetics Cooperation--Stock Center. In this report, we describe how the MaizeGDB Team currently interacts with the maize research community and our plan for future interactions that will support updates to the functional and structural annotation of the B73 reference genome.","Schaeffer ML, Harper LC, Gardiner JM, Andorf CM, Campbell DA, Cannon EK, Sen TZ, Lawrence CJ.",Database (Oxford),2011
10.1371_journal.pbio.1000303,20161717,A novel high-affinity sucrose transporter is required for virulence of the plant pathogen Ustilago maydis.,"Plant pathogenic fungi cause massive yield losses and affect both quality and safety of food and feed produced from infected plants. The main objective of plant pathogenic fungi is to get access to the organic carbon sources of their carbon-autotrophic hosts. However, the chemical nature of the carbon source(s) and the mode of uptake are largely unknown. Here, we present a novel, plasma membrane-localized sucrose transporter (Srt1) from the corn smut fungus Ustilago maydis and its characterization as a fungal virulence factor. Srt1 has an unusually high substrate affinity, is absolutely sucrose specific, and allows the direct utilization of sucrose at the plant/fungal interface without extracellular hydrolysis and, thus, without the production of extracellular monosaccharides known to elicit plant immune responses. srt1 is expressed exclusively during infection, and its deletion strongly reduces fungal virulence. This emphasizes the central role of this protein both for efficient carbon supply and for avoidance of apoplastic signals potentially recognized by the host.","Wahl R, Wippel K, Goos S, Kämper J, Sauer N.",PLoS Biol,2010
10.1371_journal.pone.0033071,22438891,Maize (Zea mays L.) genome diversity as revealed by RNA-sequencing.,"Maize is rich in genetic and phenotypic diversity. Understanding the sequence, structural, and expression variation that contributes to phenotypic diversity would facilitate more efficient varietal improvement. RNA based sequencing (RNA-seq) is a powerful approach for transcriptional analysis, assessing sequence variation, and identifying novel transcript sequences, particularly in large, complex, repetitive genomes such as maize. In this study, we sequenced RNA from whole seedlings of 21 maize inbred lines representing diverse North American and exotic germplasm. Single nucleotide polymorphism (SNP) detection identified 351,710 polymorphic loci distributed throughout the genome covering 22,830 annotated genes. Tight clustering of two distinct heterotic groups and exotic lines was evident using these SNPs as genetic markers. Transcript abundance analysis revealed minimal variation in the total number of genes expressed across these 21 lines (57.1% to 66.0%). However, the transcribed gene set among the 21 lines varied, with 48.7% expressed in all of the lines, 27.9% expressed in one to 20 lines, and 23.4% expressed in none of the lines. De novo assembly of RNA-seq reads that did not map to the reference B73 genome sequence revealed 1,321 high confidence novel transcripts, of which, 564 loci were present in all 21 lines, including B73, and 757 loci were restricted to a subset of the lines. RT-PCR validation demonstrated 87.5% concordance with the computational prediction of these expressed novel transcripts. Intriguingly, 145 of the novel de novo assembled loci were present in lines from only one of the two heterotic groups consistent with the hypothesis that, in addition to sequence polymorphisms and transcript abundance, transcript presence/absence variation is present and, thereby, may be a mechanism contributing to the genetic basis of heterosis.","Hansey CN, Vaillancourt B, Sekhon RS, de Leon N, Kaeppler SM, Buell CR.",PLoS One,2012
10.1371_journal.pgen.1002815,22829778,RsfA (YbeB) proteins are conserved ribosomal silencing factors.,"The YbeB (DUF143) family of uncharacterized proteins is encoded by almost all bacterial and eukaryotic genomes but not archaea. While they have been shown to be associated with ribosomes, their molecular function remains unclear. Here we show that YbeB is a ribosomal silencing factor (RsfA) in the stationary growth phase and during the transition from rich to poor media. A knock-out of the rsfA gene shows two strong phenotypes: (i) the viability of the mutant cells are sharply impaired during stationary phase (as shown by viability competition assays), and (ii) during transition from rich to poor media the mutant cells adapt slowly and show a growth block of more than 10 hours (as shown by growth competition assays). RsfA silences translation by binding to the L14 protein of the large ribosomal subunit and, as a consequence, impairs subunit joining (as shown by molecular modeling, reporter gene analysis, in vitro translation assays, and sucrose gradient analysis). This particular interaction is conserved in all species tested, including Escherichia coli, Treponema pallidum, Streptococcus pneumoniae, Synechocystis PCC 6803, as well as human mitochondria and maize chloroplasts (as demonstrated by yeast two-hybrid tests, pull-downs, and mutagenesis). RsfA is unrelated to the eukaryotic ribosomal anti-association/60S-assembly factor eIF6, which also binds to L14, and is the first such factor in bacteria and organelles. RsfA helps cells to adapt to slow-growth/stationary phase conditions by down-regulating protein synthesis, one of the most energy-consuming processes in both bacterial and eukaryotic cells.","Häuser R, Pech M, Kijek J, Yamamoto H, Titz B, Naeve F, Tovchigrechko A, Yamamoto K, Szaflarski W, Takeuchi N, Stellberger T, Diefenbacher ME, Nierhaus KH, Uetz P.",PLoS Genet,2012
10.1093_nar_gkr1137,22156165,Protein-mediated protection as the predominant mechanism for defining processed mRNA termini in land plant chloroplasts.,"Most chloroplast mRNAs are processed from larger precursors. Several mechanisms have been proposed to mediate these processing events, including site-specific cleavage and the stalling of exonucleases by RNA structures. A protein barrier mechanism was proposed based on analysis of the pentatricopeptide repeat (PPR) protein PPR10: PPR10 binds two intercistronic regions and impedes 5'- and 3'-exonucleases, resulting in processed RNAs with PPR10 bound at the 5'- or 3'-end. In this study, we provide evidence that protein barriers are the predominant means for defining processed mRNA termini in chloroplasts. First, we map additional RNA termini whose arrangement suggests biogenesis via a PPR10-like mechanism. Second, we show that the PPR protein HCF152 binds to the immediate 5'- or 3'-termini of transcripts that require HCF152 for their accumulation, providing evidence that HCF152 defines RNA termini by blocking exonucleases. Finally, we build on the observation that the PPR10 and HCF152 binding sites accumulate as small chloroplast RNAs to infer binding sites of other PPR proteins. We show that most processed mRNA termini are represented by small RNAs whose sequences are highly conserved. We suggest that each such small RNA is the footprint of a PPR-like protein that protects the adjacent RNA from degradation.","Zhelyazkova P, Hammani K, Rojas M, Voelker R, Vargas-Suárez M, Börner T, Barkan A.",Nucleic Acids Res,2012
