doi,pubmed_id,title,abstract,authors,journal,year
10.1093/genetics/iyaf266,41553514,"SorghumBase: a knowledgebase for sorghum genomics, phenomics, and stakeholder engagement.","Centralizing valuable community data and resources into a user-friendly interface and accessible repository has become essential for agricultural science; embracing Findable Accessible, Interoperable, and Reusable (FAIR) principles is now standard for effective databases. SorghumBase (https://www.sorghumbase.org) is a knowledgebase designed for the sorghum research community. The SorghumBase team curates genomic, transcriptomic, variation, and phenotypic information and aggregates community events, providing rich visualizations and bulk data access. The modular framework of the database is built with open-access software to yield a robust, modifiable, and sustainable data infrastructure. Release 9 of SorghumBase includes: (i) 88 sorghum reference genomes and an updated pan-gene index, (ii) over 100 million variants have been mapped onto the 2 genomes, BTx623 and Tx2783, (iii) assignment of 41 million Reference Cluster SNP identifiers (rsIDs) from BTx623 across the pan-genome, (iv) updated gene search homology, gene expression, and germplasm visualizations and features, (v) added and standardized 234 phenotypic data from 40 community-generated GWAS studies and 148 traits from the Sorghum QTL Atlas (Oz Sorghum), (vi) improved news, funding, and a research content management system for community access and interaction, (vii) outreach materials including training documents and videos, and (viii) community engagement initiatives through training and working groups. SorghumBase serves as a hub for sorghum data and stakeholder engagement while promoting community standards to drive research and multi-omics breeding approaches.",,Genetics,
10.1021/acs.jafc.5c10234,41406936,From Root Exudate to Green Agrochemical: Comprehensive Review of Sorgoleone&#8217;s Bioactivity and Synthesis.,"Sorgoleone, a lipophilic benzoquinone allelochemical exuded by sorghum [Sorghum bicolor (L) Moench] root, represents a promising multitarget botanical herbicide with significant potential for sustainable weed management. Sorgoleone inhibits weed growth through concurrent disruption of mitochondrial respiration, photosystem II electron transfer, carotenoid biosynthesis, and root H+-ATPase activity. It exhibits broad-spectrum activity against terrestrial weeds and aquatic plants, with heightened efficacy against small-seeded species and dicots. Environmentally, sorgoleone is also a biological nitrification inhibitor (BNI) that could suppress soil nitrification (enhancing nitrogen use efficiency by 15-20%) and enhances arbuscular mycorrhizal symbiosis. Due to its important bioactivities and potential application value, plant extraction, chemical synthesis, and biosynthetic synthesis have been explored to overcome production constraints of sorgoleone. This review provides a summary and discussion of the biological activities, herbicidal mechanisms, total synthesis, and biosynthesis of sorgoleone, serving as a basis for further research and applications.",,Journal of agricultural and food chemistry,
10.1021/acs.jafc.5c10234,41406936,From Root Exudate to Green Agrochemical: Comprehensive Review of Sorgoleone&#8217;s Bioactivity and Synthesis.,"Sorgoleone, a lipophilic benzoquinone allelochemical exuded by sorghum [Sorghum bicolor (L) Moench] root, represents a promising multitarget botanical herbicide with significant potential for sustainable weed management. Sorgoleone inhibits weed growth through concurrent disruption of mitochondrial respiration, photosystem II electron transfer, carotenoid biosynthesis, and root H+-ATPase activity. It exhibits broad-spectrum activity against terrestrial weeds and aquatic plants, with heightened efficacy against small-seeded species and dicots. Environmentally, sorgoleone is also a biological nitrification inhibitor (BNI) that could suppress soil nitrification (enhancing nitrogen use efficiency by 15-20%) and enhances arbuscular mycorrhizal symbiosis. Due to its important bioactivities and potential application value, plant extraction, chemical synthesis, and biosynthetic synthesis have been explored to overcome production constraints of sorgoleone. This review provides a summary and discussion of the biological activities, herbicidal mechanisms, total synthesis, and biosynthesis of sorgoleone, serving as a basis for further research and applications.",,Journal of agricultural and food chemistry,
10.1186/s12870-025-07998-2,41469575,Genetic diversity analysis of sorghum grain traits and development of KASP markers for grain width genes SbTGW3 and SbGS5.,,,BMC plant biology,
10.1038/s41598-025-29176-y,41461821,Performance of multi-trait and single-trait genomic selection for grain Fe and Zn concentrations in sorghum under different breeding constraints.,"Sorghum biofortification is a cost-effective approach to solving the issue of micronutrient deficiencies in human diets. Research programs face challenges, e.g., phenotyping time, cost, and accuracy in evaluating breeding populations across years and environments, which can be addressed through genomic selection (GS). The present GS work on sorghum grain Fe and Zn contents revealed that the multi-trait genomic best linear unbiased prediction (GBLUP) model (MT-GBLUP) consistently outperformed single-trait GBLUP (ST-GBLUP) in terms of prediction accuracy (PA) under different breeding resource-constrained scenarios. The PA gain by MT-GBLUP for Fe (0.274) and Zn (0.183) was greater when information was borrowed from auxiliary agronomic traits evaluated in a few locations than when only highly correlated target traits (Fe and Zn) were evaluated in more years and locations (PA gain ≤ 0.005). These results suggest that easily scorable non-target traits can inform and improve MT-GBLUP prediction accuracy for the genomic estimated breeding values of the target traits, thereby significantly saving multi-environment testing resources and potentially boosting genetic gain per unit time and cost.",,Scientific reports,
10.1093/aob/mcaf328,41449079,"A generic model for individual leaf size in maize, sorghum and pearl millet.","BACKGROUND AND AIMS: Crop growth models (CGM) are a valuable tool for predicting crop performance in contrasting growing conditions and interpreting crop responses to future scenarios. Inaccuracies in the simulation of leaf area dynamics directly impact estimates of intercepted radiation, biomass production and transpiration demand by the crop, especially during the early stages when the canopy is not yet fully covering the soil. An empirical bell-shaped function of individual leaf area versus leaf position, combined with the response of leaf appearance to thermal time, is used in many CGMs to simulate total leaf area per axis and generate canopy leaf area index. This study proposes that an individual leaf area approach, based on predicting blade length and blade width of successive leaves, can make modelling of leaf area dynamics less empirical, while offering the flexibility to better simulate genotypic, and genotypic × environment interaction effects in sorghum (Sorghum bicolor (L.) Moench), maize (Zea mays L.), and pearl millet (Pennisteum americanum L.).METHODS: A generic model of leaf area by leaf position was developed using data on individual blade length and width compiled from numerous experiments over the period 1990-2022 that involved a broad range of genotypes of sorghum, maize, and pearl millet.KEY RESULTS: This study developed and tested a generic individual leaf size model for maize, sorghum and pearl millet, based on relationships quantifying length and width of successive leaves. Generic parameters of an expolinear-logistic model obtained across species and related to total leaf number (TLN) as appropriate, facilitated satisfactory predictive performance for blade length, width, and leaf area profiles. Genotypic-specific parameters improved model predictions in this study.CONCLUSIONS: Improvements in parameterisation of canopy development in CGM can enhance predictions of Genotype × Environment × Management (G×E×M) interactions to support identifying breeding targets for enhanced yield and strategies for sustainable crop management.",,Annals of botany,
10.1186/s13059-025-03915-w,41437077,Sorghum embryos undergoing B chromosome elimination express B-variants of mitotic-related genes.,"BACKGROUND: Selective DNA elimination occurs across diverse species and plays a crucial role in evolution and development. This process encompasses small deletions, complete removal of chromosomes, or even the elimination of entire parental genomes. Despite its importance, the molecular mechanisms governing selective DNA elimination remain poorly understood. Our study focuses on the tissue-specific elimination of Sorghum purpureosericeum B chromosomes during embryo development.RESULTS: In situ B chromosome visualisation, complemented by transcriptomic profiling and gene-enrichment analysis, allows us to identify 28 candidate genes potentially linked to chromosome elimination. We show that elimination is a developmentally programmed process, peaking during mid-embryogenesis and nearly completed at later stages, leaving B chromosomes only in restricted meristematic regions. Genome sequencing reveals that the sorghum B chromosome is of multi-A chromosomal origin, has reduced gene density, is enriched in repetitive sequences, and carries a novel centromeric repeat, SpuCL166. Transcriptome analyses identify B-specific variants of kinetochore, cohesion, and checkpoint genes that are expressed during active elimination, while structural modeling of CENH3 and CENP-C indicates functional divergence at the kinetochore interface.CONCLUSIONS: Here, we provide the first comprehensive genomic and transcriptomic characterization of B chromosome and its elimination in Sorghum purpureosericeum. Our findings suggest that B chromosomes express modified mitotic machinery to control their own fate. By establishing a framework of candidate genes, this study opens new avenues for dissecting the molecular mechanisms of chromosome elimination and provides a critical foundation for understanding how genomes evolve to regulate and tolerate supernumerary chromosomal elements.",,Genome biology,
10.1016/j.plantsci.2025.112956,41435976,SbHMA5 is a P1B-type Cu ATPase involved in Cu homeostasis by interacting with metallochaperones SbATX1 and SbFRN3.,"Copper (Cu) is required by prokaryotes and eukaryotes for fundamental life processes including photosynthesis, respiration and neurotransmission but excess Cu is toxic, causing severe problems ranging from weak plant growth to Wilson's disease in humans. Copper homeostasis was shown to be tightly regulated by P1B-type ATPase in yeast and other model organisms but the molecular mechanism by which sorghum plants maintain this delicate balance of Cu homeostasis remains poorly understood. We identified 31 orthologs of P1B-type metal transporters in Sorghum bicolor. From the identified sorghum orthologs of P1B-type ATPases, we complemented the yeast ∆ccc2 mutant with SbHMA5. We showed that SbHMA5 encodes a P1B- type Cu ATPase homologous to OsHMA5 and AtHMA5. The SbHMA5 transcript is detected in most sorghum tissues and induced by CuSO4 treatment. The protein is predominantly localized in the plasma membrane and physically interacts with Cu chaperones SbATX1 and SbFRN3. Our results suggest that SbHMA5 is an efflux carrier involved in Cu homeostasis required for sorghum growth and development.",,Plant science : an international journal of experimental plant biology,
10.1007/s10142-025-01797-6,41408459,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration.,"Anthracnose, caused by the hemibiotrophic fungal pathogen Colletotrichum sublineola, is a significant constraint to sorghum production worldwide. Developing resistant cultivars is the most sustainable control strategy, but it requires constant additional sources of resistance genes. Here, we applied machine learning (ML) approaches, specifically Bootstrap Forest and Boosted Tree models, to identify single-nucleotide polymorphisms (SNPs) associated with anthracnose resistance in a panel of Senegalese sorghum accessions using publicly available phenotypic data from seedling and 8-leaf stages. The ML models identified five novel high-importance loci distinct from those found by linear model-based Genome-wide association studies (GWAS), while also reinforcing three candidates detected by both methods. The top candidates found through ML algorithms were leucine-rich repeat (LRR), F-box, aspartic peptidase, and jasmonate O-methyltransferase. Several genes were highlighted by both ML and GWAS, strengthening the evidence for their involvement. This study demonstrates the potential of ML to complement traditional GWAS in identifying candidate genes for complex traits, providing a valuable resource for future functional studies and marker-assisted selection efforts to enhance anthracnose resistance in sorghum. Given the constraints of the available population size, these results are best interpreted as an explanatory framework that highlights potential targets for further investigation and guides future functional validation, rather than as a definitive predictive tool.",,Functional & integrative genomics,
10.1021/acs.jafc.5c06889,41342873,Zinc Metalloprotease CsMep is Involved in Zinc Homeostasis and Pathogenicity in Colletotrichum sublineola with Alterations in Aromatic Amino Acid Biosynthesis.,"Sorghum anthracnose, caused by Colletotrichum sublineola, severely affects leaves, stems, and panicles. This study characterizes CsMep, a zinc-dependent metalloprotease with a conserved HEXXH motif and an N-terminal signal peptide. CsMep localizes to the cell membrane, cytoplasm, and nucleus and suppresses plant programmed cell death in an HEXXH-dependent manner. This suppression was accompanied by reduced ROS accumulation and cell necrosis along with decreased electrolyte leakage in plant tissues. Deletion of CsMep impaired fungal pathogenicity, hindering hyphal growth, sporulation, and appressorium formation, while increasing sensitivity to ZnSO4 stress. Under zinc treatment, the mutant exhibited modifications in gene expression and metabolite accumulation, including the upregulation of aromatic amino acid biosynthesis along with increased levels of L-tryptophan and protocatechuic acid. These findings indicate that CsMep is crucial for adaptation to zinc stress and for achieving full virulence, thereby highlighting its significance in fungal pathogenesis and its potential as a target for disease control.",,Journal of agricultural and food chemistry,
